yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,sector,industry,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
WFC,WFC,Wells Fargo & Company,251.55,87.66999816894531,84.46730014801025,3.7916424643892257,96.38999938964844,-9.046582919306033,65.11445290580284,6.4,9.19,daily_close,일봉 종가,2026-07-14 13:30 KST,,,15.1,12.27,78.74,12.772798,1.5535587,12.03,,5.7,29.45,13.84,4.83 -> 5.37 -> 6.26,83699000000.0,,21338000000.0,,25.49,-19001000000.0,-19001000000.0,174210000000.0,193035000000.0,-18825000000.0,2.05,27.05,1.8,,yfinance,,,,Financial Services,Banks - Diversified,72.41,-0.92,,,,,2.67,Finnhub,,,,,,,,0.85,13.84,18.83,3.0,15.92,16,-32.17,-48.21,15,15,15,2026-07-13,4.25,8,6,12,16,8,8,1,0,59,B,36
RTX,RTX,RTX Corporation,249.94,196.38999938964844,185.04220001220702,6.132546725391731,212.16000366210938,-7.433071267087923,73.14049824028831,6.61,-1.01,daily_close,일봉 종가,2026-07-14 13:30 KST,,,32.5,32.9,81.57,35.080524,3.8062053,11.57,57.229,8.7,42.25,49.14,2.23 -> 3.55 -> 4.96,88603000000.0,9300000000.0,6732000000.0,10.5,7.6,10567000000.0,7448000000.0,7435000000.0,39506000000.0,-32071000000.0,1.49,51.03,2.92,,yfinance,,,,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,1.08,49.14,30.58,12.17,43.06,7,14.72,-68.72,6,6,6,2026-07-13,4.25,0,0,12,10,15,10,1,0,48,C,37
QCOM,QCOM,QUALCOMM Incorporated,238.32,183.97999572753906,168.94794975280763,8.897442080075686,251.02000427246094,-26.70703824550797,28.848721918265895,-9.35,38.28,daily_close,일봉 종가,2026-07-14 13:30 KST,,,173.0,19.11,84.91,20.292473,7.326656,36.08,55.979,-3.5,20.88,-11.66,6.42 -> 8.97 -> 5.01,44284000000.0,12394000000.0,5541000000.0,27.99,12.51,14012000000.0,12820000000.0,5520000000.0,14811000000.0,-9291000000.0,2.0,38.28,3.68,,yfinance,,,,Technology,Semiconductors,,,,,,,,,,,,,,,,0.12,-11.66,35.07,9.74,33.3,19,-42.14,-24.78,17,18,18,2026-07-13,4.25,4,0,20,20,0,10,3,5,62,B,38
LIN,LIN,Linde plc,236.79,524.0599975585938,471.1950503540039,11.219334151509647,546.6400146484375,-4.130692317569491,53.98113471207375,1.67,5.25,daily_close,일봉 종가,2026-07-14 13:30 KST,523.66,-0.0763266726056608,13.4,32.12,89.33,35.334435,6.3999376,18.23,65.642,8.2,7.67,7.72,12.59 -> 13.62 -> 14.61,33986000000.0,9254000000.0,6898000000.0,27.23,20.3,10350000000.0,5089000000.0,5056000000.0,28069000000.0,-23013000000.0,1.22,40.45,6.4,,yfinance,,,,Basic Materials,Specialty Chemicals,79.31,-0.69,,,,,0.07,Finnhub,,,2026-07-14,,,,,2.64,7.72,,,,2,,,1,1,1,2026-07-13,4.25,0,0,16,0,4,5,5,0,30,D,39
IBM,IBM,International Business Machines,234.13,290.2300109863281,275.2259497833252,5.4515430739053015,329.2300109863281,-11.845821674385434,71.47699611442026,5.6,18.56,daily_close,일봉 종가,2026-07-14 13:30 KST,288.2006,-0.6992422938728124,14.2,36.69,65.57,24.62356,7.9240656,35.77,211.169,9.5,24.0,17.14,8.14 -> 6.43 -> 11.17,67536000000.0,12492000000.0,10593000000.0,18.5,15.68,13193000000.0,11455000000.0,13587000000.0,64607000000.0,-51020000000.0,2.33,59.47,6.76,,yfinance,,,,Technology,Information Technology Services,,,,,,,,,,,,,,,,1.73,17.14,35.07,9.74,33.3,19,-29.79,-18.64,17,18,18,2026-07-13,4.25,4,0,20,5,12,5,1,5,52,C,40
AXP,AXP,American Express Company,230.63,354.42999267578125,338.4822499084473,4.711544777206936,384.8900146484375,-7.913954847718964,62.41650282448146,11.28,7.71,daily_close,일봉 종가,2026-07-14 13:30 KST,354.21,-0.06206942988104034,17.6,18.87,65.32,21.101059,6.7859006,34.42,177.847,11.6,,17.13,11.21 -> 14.01 -> 15.38,72230000000.0,,10833000000.0,,15.0,18428000000.0,16003000000.0,47708000000.0,57759000000.0,-10051000000.0,1.07,21.29,3.8,,yfinance,,,,Financial Services,Credit Services,45.71,0.0,,,,,2.63,Finnhub,,,,,,,,1.2,17.13,18.62,2.86,15.43,16,13.32,137.27,15,15,15,2026-07-13,4.25,4,0,20,10,12,8,3,0,57,B,41
MCD,MCD,McDonald's Corporation,197.95,272.6099853515625,302.7316996765137,-9.94997033912801,341.05999755859375,-20.06978616578205,52.53175037040379,-4.27,-10.99,daily_close,일봉 종가,2026-07-14 13:30 KST,,,6.9,25.8,77.2,22.220758,-149.03868,,,9.4,4.58,1.67,11.56 -> 11.39 -> 11.95,26885000000.0,12394000000.0,8563000000.0,46.1,31.85,10551000000.0,7186000000.0,774000000.0,54814000000.0,-54040000000.0,,,,,,,,,,,,,,,,,,,,,2026-07-14,,,,,3.22,1.67,33.99,5.75,18.3,13,-34.63,,10,10,10,2026-07-13,4.25,4,0,0,0,0,5,5,5,19,D,42
TMUS,TMUS,"T-Mobile US, Inc.",196.6,188.41000366210938,202.41234985351562,-6.917733133151039,272.8299865722656,-30.942340308987838,57.59229217702487,1.39,-0.94,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-12.0,32.59,44.03,17.824654,3.2594247,18.02,218.569,10.6,3.04,18.43,6.93 -> 9.66 -> 9.72,88309000000.0,18557000000.0,10992000000.0,21.01,12.45,27950000000.0,15427000000.0,5598000000.0,122269000000.0,-116671000000.0,2.17,40.38,4.08,,yfinance,,,,Communication Services,Telecom Services,83.78,0.0,,,,,2.79,Finnhub,,,,,,,,,18.43,23.93,8.94,38.88,6,-25.51,-63.54,5,5,5,2026-07-13,4.25,8,0,16,0,12,0,3,5,44,C,43
PEP,PEP,펩시코,194.13,138.49000549316406,150.06169982910157,-7.711290988384101,179.3000030517578,-22.760734447290158,46.565592929061694,-3.65,-10.57,daily_close,일봉 종가,2026-07-14 13:30 KST,,,27.8,23.3,80.81,22.19497,9.030772,43.88,244.837,8.5,4.42,-4.36,6.56 -> 6.95 -> 6.0,93925000000.0,13491000000.0,8240000000.0,14.36,8.77,12087000000.0,7672000000.0,9159000000.0,49901000000.0,-40742000000.0,4.27,89.32,5.92,,yfinance,,,,Consumer Defensive,Beverages - Non-Alcoholic,44.83,0.0,,,,,1.66,Finnhub,,,2026-07-14,,,,,0.8,-4.36,25.56,8.38,26.64,9,-13.17,7.77,7,6,6,2026-07-13,4.25,4,0,20,16,0,8,5,5,58,B,44
AMGN,AMGN,Amgen Inc.,182.21,360.45001220703125,337.88070098876955,6.679668638136234,388.1600036621094,-7.138806469921481,66.37519401158451,1.8,3.51,daily_close,일봉 종가,2026-07-14 13:30 KST,358.6765,-0.49202722901077994,4.4,24.27,85.25,25.055593,21.173948,101.32,623.754,5.8,25.1,6.74,12.49 -> 7.56 -> 14.23,36751000000.0,9080000000.0,7711000000.0,24.71,20.98,9958000000.0,8100000000.0,9129000000.0,54604000000.0,-45475000000.0,2.8,67.22,10.08,,yfinance,,,,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,5.69,6.74,23.47,3.59,15.2,15,6.76,489.8,14,13,13,2026-07-13,4.25,0,0,20,0,4,2,1,0,27,D,45
NEE,NEE,"NextEra Energy, Inc.",180.93,88.37999725341797,87.04920017242432,1.5287872586510236,97.87999725341797,-9.705762430094737,60.070040765699886,4.17,-3.13,daily_close,일봉 종가,2026-07-14 13:30 KST,,,160.0,24.14,86.97,22.502539,3.3480608,10.32,156.686,7.3,12.53,-4.52,3.6 -> 3.37 -> 3.28,27412000000.0,8020000000.0,6835000000.0,29.26,24.93,12485000000.0,3211000000.0,2812000000.0,95619000000.0,-92807000000.0,2.82,58.95,2.49,,yfinance,,,,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,0.14,-4.52,,,,3,,,2,2,2,2026-07-13,4.25,4,0,12,20,0,10,3,0,49,C,46
DIS,DIS,Walt Disney Company (The),180.41,96.0,105.79960006713867,-9.262416928721853,124.01000213623047,-22.58688948772071,32.63328025490392,-4.33,-6.83,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-29.8,41.6,78.1,15.8064,1.5857906,11.01,41.069,6.5,16.1,130.44,1.29 -> 2.72 -> 6.85,94425000000.0,13832000000.0,12404000000.0,14.65,13.14,18101000000.0,10077000000.0,5695000000.0,44877000000.0,-39182000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.44,33.99,7.53,24.41,13,-53.5,-78.94,10,9,9,2026-07-13,4.25,8,6,12,0,15,0,3,5,49,C,47
TMO,TMO,Thermo Fisher Scientific Inc,172.66,528.510009765625,527.7992501831054,0.13466475791184002,639.4500122070312,-17.349284592004636,78.175761489579,11.11,-0.59,daily_close,일봉 종가,2026-07-14 13:30 KST,525.5,-0.5695274848171428,11.3,32.43,94.25,27.54725,3.587549,13.52,82.903,6.2,5.09,7.16,15.45 -> 16.53 -> 17.74,44557000000.0,8110000000.0,6704000000.0,18.2,15.05,7818000000.0,6293000000.0,9852000000.0,39385000000.0,-29533000000.0,0.36,9.68,1.88,,yfinance,,,,Healthcare,Diagnostics & Research,85.29,-2.95,,,,,2.43,Finnhub,,,,,,,,2.44,7.16,23.01,5.51,16.27,15,19.72,-34.89,14,13,13,2026-07-13,4.25,0,0,12,0,4,5,1,5,27,D,48
ABT,ABT,Abbott Laboratories,153.99,92.11000061035156,110.61224998474121,-16.727125048936266,140.22000122070312,-34.31036955607175,61.517756566951185,2.74,-9.3,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-19.7,26.48,82.62,25.969189,3.10181,12.33,64.773,7.8,17.99,6.82,3.26 -> 7.64 -> 3.72,44328000000.0,8053000000.0,6524000000.0,18.17,14.72,9566000000.0,7395000000.0,8522000000.0,13860000000.0,-5338000000.0,2.74,67.23,2.52,,yfinance,,,,Healthcare,Medical Devices,,,,,,,,,,,,,,,,,6.82,23.01,5.51,16.27,15,12.86,-43.71,14,13,13,2026-07-13,4.25,0,0,12,0,4,0,3,5,24,D,49
UNP,UNP,Union Pacific Corporation,152.51,289.1300048828125,246.31315086364745,17.383097032796005,289.1300048828125,0.0,88.87701460767542,7.77,16.57,daily_close,일봉 종가,2026-07-14 13:30 KST,,,6.2,19.51,90.86,22.368422,8.316009,40.69,162.246,3.2,1.37,7.07,10.45 -> 11.09 -> 11.98,24510000000.0,9846000000.0,7138000000.0,40.17,29.12,9290000000.0,5499000000.0,1266000000.0,32822000000.0,-31556000000.0,1.91,45.1,5.52,,yfinance,,,,Industrials,Railroads,65.52,-1.15,,,,,1.23,Finnhub,,,,,,,,3.61,7.07,35.49,11.14,34.84,7,-36.97,-25.35,6,6,6,2026-07-13,4.25,4,0,20,0,4,5,1,0,34,D,50
HON,HON,Honeywell International Inc.,145.11,222.25,225.33015426635743,-1.3669516520706981,260.1363525390625,-14.564036194585078,37.621440193032576,-3.29,-8.73,daily_close,일봉 종가,2026-07-14 13:30 KST,221.5471,-0.31626546681664774,-41.9,11.93,81.78,17.697527,5.1697206,24.26,257.387,2.4,-1.51,-2.87,16.94 -> 17.42 -> 15.98,37442000000.0,6567000000.0,4729000000.0,17.54,12.63,6408000000.0,5422000000.0,12487000000.0,35563000000.0,-23076000000.0,4.28,74.12,9.52,,yfinance,,,,Industrials,Conglomerates,60.61,-2.25,,,,,4.16,Finnhub,,,,,,,,,-2.87,35.49,12.17,43.06,7,-50.13,-57.52,6,6,6,2026-07-13,4.25,8,0,20,0,0,0,5,5,38,D,51
PFE,PFE,"Pfizer, Inc.",143.68,24.479999542236328,25.867450037002563,-5.363692566455259,31.389999389648438,-22.013379999270843,43.47826254002554,-6.46,-9.97,daily_close,일봉 종가,2026-07-14 13:30 KST,24.5,0.0817012178826404,-10.1,27.66,69.36,18.229008,1.5104363,8.31,71.602,5.4,16.53,91.72,0.37 -> 1.41 -> 1.36,62579000000.0,17407000000.0,7771000000.0,27.82,12.42,11704000000.0,9075000000.0,1142000000.0,63961000000.0,-62819000000.0,7.03,131.3,1.72,,yfinance,,,,Healthcare,Drug Manufacturers - General,41.67,-2.77,,,,,21.68,Finnhub,,,,,,,,,91.72,25.51,5.51,16.27,15,-28.54,-72.59,14,13,13,2026-07-13,4.25,4,6,6,0,15,0,5,5,41,C,52
COP,COP,ConocoPhillips,131.26,112.8499984741211,106.16660037994384,6.2951983677154875,133.8000030517578,-15.657701120927953,56.46817193743602,-2.18,-5.1,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-20.2,11.47,87.5,17.959322,2.0001132,11.28,36.143,-5.3,-11.27,-16.28,9.06 -> 7.81 -> 6.35,58944000000.0,11342000000.0,7988000000.0,19.24,13.55,19796000000.0,7243000000.0,6497000000.0,23444000000.0,-16947000000.0,,,,,,,,,,,,,,,,,,,,,2026-07-14,,,,,,-16.28,33.99,7.53,24.41,13,-47.16,-73.44,10,9,9,2026-07-13,4.25,8,3,12,0,0,0,3,5,31,D,53
LOW,LOW,"Lowe's Companies, Inc.",124.59,207.6999969482422,241.85120063781739,-14.1207501139174,287.3900146484375,-27.728874922004383,41.74470594182749,-6.04,-14.87,daily_close,일봉 종가,2026-07-14 13:30 KST,207.82,0.05777710809871117,-0.7,19.46,81.1,18.759087,-13.430161,,,10.3,-2.99,-5.25,13.2 -> 12.23 -> 11.85,86286000000.0,10153000000.0,6654000000.0,11.77,7.71,9864000000.0,7651000000.0,982000000.0,44677000000.0,-43695000000.0,2.41,40.57,5.0,,yfinance,,,,Consumer Cyclical,Home Improvement Retail,68.29,4.88,,,,,1.24,Finnhub,,,,,,,,,-5.25,27.23,16.08,24.29,7,-31.11,,6,5,5,2026-07-13,4.25,4,0,0,0,0,0,5,5,14,D,54
CRM,CRM,세일즈포스,124.31,171.22000122070312,209.9287007904053,-18.43897448226923,367.8699951171875,-53.456383099100044,72.96474201323488,2.87,-3.59,daily_close,일봉 종가,2026-07-14 13:30 KST,,,52.2,233.06,94.2,18.914251,3.9049306,16.91,124.282,13.3,16.32,36.28,4.2 -> 6.36 -> 7.8,41525000000.0,8917000000.0,7457000000.0,21.47,17.96,14996000000.0,14402000000.0,7327000000.0,17176000000.0,-9849000000.0,1.03,19.56,1.76,,yfinance,,,,Technology,Software - Application,74.14,-1.72,,,,,15.86,Finnhub,,,,,,,,0.36,36.28,35.07,9.74,34.89,19,-46.07,-59.91,17,18,18,2026-07-13,4.25,4,0,16,20,15,10,1,3,69,B,55
SPGI,SPGI,S&P Global Inc.,121.63,437.8399963378906,436.5437316894531,0.29693809676773275,533.7275390625,-17.96563521774372,71.84464141802626,11.97,7.48,daily_close,일봉 종가,2026-07-14 13:30 KST,437.84,8.36403567654602e-07,32.5,37.65,90.82,26.263924,3.9403117,13.94,38.392,10.4,12.76,33.46,8.23 -> 12.35 -> 14.66,15336000000.0,6177000000.0,4471000000.0,40.28,29.15,5651000000.0,5456000000.0,1745000000.0,13582000000.0,-11837000000.0,0.89,24.35,3.88,,yfinance,,,,Financial Services,Financial Data & Stock Exchanges,88.24,-0.33,,,,,1.68,Finnhub,,,,,,,,0.81,33.46,18.62,2.86,15.92,16,41.05,37.77,15,15,15,2026-07-13,4.25,0,0,12,16,15,10,1,5,59,B,56
SYK,SYK,Stryker Corporation,118.0,331.45001220703125,346.0733006286621,-4.225488760637353,403.5299987792969,-17.862361358588462,67.88772456506548,8.44,-2.87,daily_close,일봉 종가,2026-07-14 13:30 KST,,,14.2,40.28,82.37,38.298954,5.5140886,15.2,66.295,2.6,8.42,0.9,8.25 -> 7.76 -> 8.4,25116000000.0,5059000000.0,3246000000.0,20.14,12.92,5044000000.0,4283000000.0,4011000000.0,15859000000.0,-11848000000.0,1.06,39.81,3.52,,yfinance,,,,Healthcare,Medical Devices,,,,,,,,,,,,,,,,2.7,0.9,23.01,3.59,16.27,15,66.44,53.6,14,13,13,2026-07-13,4.25,0,0,16,0,0,5,1,5,27,D,57
LMT,LMT,Lockheed Martin Corporation,117.81,520.6799926757812,542.0214015197754,-3.9373738350838003,676.7000122070312,-23.056009563587367,61.08201915131111,-5.1,-14.8,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-11.5,19.77,75.94,25.257504,16.02592,67.64,276.365,0.3,10.24,-11.68,27.55 -> 22.31 -> 21.49,75048000000.0,7731000000.0,5017000000.0,10.3,6.69,8557000000.0,6908000000.0,4121000000.0,21700000000.0,-17579000000.0,2.65,65.38,13.8,,yfinance,,,,Industrials,Aerospace & Defense,39.29,1.36,,,,,11.0,Finnhub,,,,,,,,,-11.68,35.49,7.28,32.48,7,-28.83,120.14,6,6,6,2026-07-13,4.25,0,0,20,0,0,0,3,5,28,D,58
MDT,MDT,Medtronic plc.,101.56,83.56999969482422,90.98279987335205,-8.147474235620843,105.3499984741211,-20.673943136930433,64.05228067883756,4.03,-4.05,daily_close,일봉 종가,2026-07-14 13:30 KST,,,18.3,25.7,89.71,20.97319,2.0246909,9.84,58.214,9.9,4.4,13.14,2.82 -> 2.76 -> 3.61,36364000000.0,6828000000.0,4801000000.0,18.78,13.2,7330000000.0,5426000000.0,1949000000.0,27961000000.0,-26012000000.0,3.45,76.14,2.88,,yfinance,,,,Healthcare,Medical Devices,56.76,-5.4,,,,,1.09,Finnhub,,,,,,,,1.15,13.14,25.51,5.51,16.27,15,-17.78,-63.25,14,13,13,2026-07-13,4.25,4,3,6,10,8,8,3,5,47,C,59
NOW,NOW,"ServiceNow, Inc.",98.02,111.26000213623047,130.44867992401123,-14.709752370785601,234.0780029296875,-52.46883485687853,72.45876314620031,7.94,18.12,daily_close,일봉 종가,2026-07-14 13:30 KST,,,2.3,142.76,88.4,66.2262,9.78368,16.07,20.728,22.1,33.72,-0.42,1.68 -> 1.37 -> 1.67,13278000000.0,1824000000.0,1748000000.0,13.74,13.16,5444000000.0,4533000000.0,3726000000.0,2403000000.0,1323000000.0,,0.0,0.0,,yfinance,,,,Technology,Software - Application,88.89,0.0,,,,,7.03,Finnhub,,,2026-07-14,,,,,28.79,-0.42,30.3,9.57,34.89,19,118.57,2.23,17,18,18,2026-07-13,4.25,0,0,16,0,0,2,1,3,22,D,60
CMCSA,CMCSA,Comcast Corporation,80.13,23.969999313354492,27.35726379394531,-12.381590886075696,42.3055305480957,-43.340742917515655,66.94044471711715,0.0,-15.3,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-32.6,11.82,93.65,4.8137255,0.9947728,20.92,106.858,5.3,-11.28,20.53,3.71 -> 4.14 -> 5.39,123707000000.0,20670000000.0,19998000000.0,16.71,16.17,33643000000.0,19235000000.0,9481000000.0,98937000000.0,-89456000000.0,5.51,25.88,1.32,,yfinance,,,,Communication Services,Telecom Services,35.9,0.0,,,,,3.76,Finnhub,,,2026-07-14,,,,,,20.53,23.93,8.94,38.88,6,-79.88,-88.87,5,5,5,2026-07-13,4.25,15,8,20,0,12,0,1,5,61,B,61
ACN,ACN,Accenture plc,78.32,138.52000427246094,217.68964981079102,-36.36812572721847,398.25,-65.21782692468024,64.32908723546743,-17.31,-28.6,daily_close,일봉 종가,2026-07-14 13:30 KST,,,9.0,26.05,85.54,10.301916,2.4746263,24.41,25.035,5.6,8.04,6.21,10.77 -> 11.44 -> 12.15,69672977000.0,10840988000.0,7678433000.0,15.56,11.02,11474399000.0,10874360000.0,11478729000.0,8182866000.0,3295863000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,6.21,33.99,7.53,12.18,13,-69.69,-67.14,10,9,9,2026-07-13,4.25,12,3,20,10,4,5,3,1,58,B,62
ADBE,ADBE,어도비,77.58,230.61000061035156,284.4936502075195,-18.940194116059658,586.5499877929688,-60.683657759831256,84.96187087947068,5.4,-5.74,daily_close,일봉 종가,2026-07-14 13:30 KST,229.845,-0.3317291567264427,7.9,36.73,88.09,11.809497,7.1510715,62.95,61.443,12.7,12.47,18.86,11.82 -> 12.36 -> 16.7,23769000000.0,8706000000.0,7130000000.0,36.63,30.0,10031000000.0,9852000000.0,5431000000.0,6648000000.0,-1217000000.0,,0.0,0.0,,yfinance,,,,Technology,Software - Application,,,,,,,,,,,,,,,,1.49,18.86,35.07,9.74,33.3,19,-66.33,-26.58,17,18,18,2026-07-13,4.25,12,0,20,10,12,5,1,1,61,B,63
INTU,INTU,Intuit Inc.,73.03,289.760009765625,493.2709004211426,-41.25742882496514,807.3900146484375,-64.11151927711227,68.96716816457028,4.64,-25.65,daily_close,일봉 종가,2026-07-14 13:30 KST,,,10.7,59.47,92.59,15.924345,3.4700527,22.5,33.448,10.4,28.16,27.42,8.42 -> 10.43 -> 13.67,18831000000.0,4938000000.0,3869000000.0,26.22,20.55,6207000000.0,6083000000.0,2884000000.0,6639000000.0,-3755000000.0,1.66,28.31,4.8,,yfinance,,,,Technology,Software - Application,75.61,-4.88,,,,,4.5,Finnhub,,,,,,,,1.49,27.42,35.07,9.74,34.89,19,-54.59,-64.37,17,18,18,2026-07-13,4.25,8,0,20,10,15,5,1,1,60,B,64
NKE,NKE,"Nike, Inc.",66.94,43.7599983215332,56.470699863433836,-22.50848948683054,89.44000244140625,-51.073348471562085,52.80787977511489,-4.79,-3.7,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-34.8,25.92,82.21,20.504763,4.523109,16.02,79.333,0.1,-41.34,-24.97,3.73 -> 2.16 -> 2.1,46309000000.0,3702000000.0,3219000000.0,7.99,6.95,3698000000.0,3268000000.0,7464000000.0,11018000000.0,-3554000000.0,3.75,77.62,1.64,,yfinance,,,,Consumer Cyclical,Footwear & Accessories,48.89,-2.22,,,,,36.92,Finnhub,,,,,,,,,-24.97,27.23,17.75,42.77,7,-24.7,-74.52,6,4,4,2026-07-13,4.25,4,0,16,0,0,0,5,3,28,D,65
EL,EL,"Estee Lauder Companies, Inc. (T",30.68,81.1500015258789,92.73854999542236,-12.49593450632501,119.61000061035156,-32.15450120242217,40.05883603607881,-7.81,5.94,daily_close,일봉 종가,2026-07-14 13:30 KST,80.5,-0.8009876939701837,-45.5,65.66,97.2,,7.191266,-5.95,232.908,4.6,-27.0,-59.39,6.55 -> 2.79 -> 1.08,14326000000.0,1141000000.0,-1133000000.0,7.96,-7.91,1272000000.0,670000000.0,2921000000.0,9467000000.0,-6546000000.0,1.73,471.43,1.4,,yfinance,,,,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,-59.39,25.28,9.3,30.13,9,,-22.67,8,6,6,2026-07-13,4.25,0,0,0,0,0,0,5,5,10,D,66
ABV,ABV,ABV,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-14,,,,,,,32.27,5.75,18.3,13,,,11,10,10,2026-07-13,4.25,0,0,0,0,0,0,1,0,1,D,67
ABBV,ABBV,ABBV,0.0,248.0,222.91844955444336,11.25144665938966,261.07000732421875,-5.0063228090338665,67.76614489178087,10.34,18.99,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-46.2,60.33,76.8,123.67488,-66.6472,,,12.4,68.92,-6.85,2.72 -> 2.39 -> 2.36,61160000000.0,20091000000.0,4226000000.0,32.85,6.91,19030000000.0,17816000000.0,5229000000.0,67496000000.0,-62267000000.0,2.79,325.98,6.92,,yfinance,,,,Healthcare,Drug Manufacturers - General,77.5,2.5,,,,,1.01,Finnhub,,,,,,,,,-6.85,23.01,4.55,15.74,15,437.48,,14,14,14,2026-07-13,4.25,0,0,0,0,0,0,1,0,1,D,68
BKNG,BKNG,BKNG,0.0,175.8000030517578,187.53234825134277,-6.256171433346807,232.6367950439453,-24.431557347345237,57.67246400117022,7.46,-5.33,daily_close,일봉 종가,2026-07-14 13:30 KST,,,240.0,28.87,97.25,23.192614,-15.717479,,,16.2,22.86,18.76,4.7 -> 6.91 -> 6.62,26917000000.0,9282000000.0,5404000000.0,34.48,20.08,9409000000.0,9087000000.0,17203000000.0,19293000000.0,-2090000000.0,0.92,20.73,1.61,,yfinance,,,,Consumer Cyclical,Travel Services,82.61,0.0,,,,,2.94,Finnhub,,,2026-07-14,,,,,0.1,18.76,27.23,16.08,24.29,7,-14.83,,6,5,5,2026-07-13,4.25,4,0,0,20,12,10,3,5,54,C,69
ISRG,ISRG,ISRG,0.0,407.1199951171875,487.79185089111326,-16.538172096674415,610.4500122070312,-33.30821738453588,52.61179079978968,-1.4,-13.08,daily_close,일봉 종가,2026-07-14 13:30 KST,,,18.8,72.94,89.08,49.527977,8.25684,17.23,,23.0,25.4,25.08,5.03 -> 6.42 -> 7.87,10064700000.0,2945500000.0,2856000000.0,29.27,28.38,3030500000.0,2490700000.0,3368000000.0,87000000.0,3281000000.0,,0.0,0.0,,yfinance,,,,Healthcare,Medical Instruments & Supplies,70.0,0.0,,,,,14.24,Finnhub,,,2026-07-14,,,,,2.63,25.08,23.01,3.59,15.2,15,115.25,130.0,14,13,13,2026-07-13,4.25,0,0,16,0,15,8,5,5,49,C,70
BLK,BLK,BLK,0.0,1031.56005859375,1060.5702523803711,-2.735339193373556,1202.5899658203125,-14.221797294799421,45.6843588590341,1.47,-1.63,daily_close,일봉 종가,2026-07-14 13:30 KST,1031.0,-0.05429238841541487,45.9,23.39,84.31,23.921701,2.604133,11.9,23.635,27.0,4.92,-1.66,36.51 -> 42.01 -> 35.31,24216000000.0,7909000000.0,5553000000.0,32.66,22.93,3927000000.0,3552000000.0,11468000000.0,14996000000.0,-3528000000.0,2.22,53.76,22.92,,yfinance,,,,Financial Services,Asset Management,,,,,,,,,,,2026-07-14,,,,,0.52,-1.66,18.62,3.0,15.92,16,28.47,-13.2,15,15,15,2026-07-13,4.25,4,3,12,20,0,10,5,5,59,B,71
TJX,TJX,TJX,0.0,150.52999877929688,153.48780029296876,-1.927059680330423,168.41000366210938,-10.616949405622114,26.4502579273488,-10.58,-6.05,daily_close,일봉 종가,2026-07-14 13:30 KST,151.31,0.51816995085926,29.3,27.36,93.98,29.38835,16.07712,61.25,136.307,9.2,13.9,12.32,3.86 -> 4.26 -> 4.87,60372000000.0,7178000000.0,5494000000.0,11.89,9.1,6874000000.0,4917000000.0,6230000000.0,13489000000.0,-7259000000.0,1.28,33.07,1.92,,yfinance,,,,Consumer Cyclical,Apparel Retail,84.62,0.62,,,,,7.25,Finnhub,,,,,,,,1.0,12.32,24.13,12.63,20.16,7,21.79,27.29,6,4,4,2026-07-13,4.25,0,0,20,16,8,8,3,5,60,B,72
